;AnoMes;Municipio_Ibge;Municipio;Estado_Ibge;Estado;Sigla_Regiao;Regiao;VL_PagadorPF;QT_PagadorPF;VL_PagadorPJ;QT_PagadorPJ;VL_RecebedorPF;QT_RecebedorPF;VL_RecebedorPJ;QT_RecebedorPJ;QT_PES_PagadorPF;QT_PES_PagadorPJ;QT_PES_RecebedorPF;QT_PES_RecebedorPJ;data
10;202202;1600212,0;CUTIAS;16,0;AMAPÁ;NO;NORTE;1816641,87;14941;302750,35;368;1782525,39;12276;184607,11;1075;1148;21;1155;18;2022-02-01
11;202202;2607208,0;IPOJUCA;26,0;PERNAMBUCO;NE;NORDESTE;93509524,31;464954;182584834,9;43876;101584157,83;501469;222779151,26;94202;30317;2151;33156;1982;2022-02-01
12;202202;3304904,0;SÃO GONÇALO;33,0;RIO DE JANEIRO;SE;SUDESTE;1147775653,86;5362509;347065623,34;284772;1239209779,14;5053166;296316320,76;453322;407366;18840;423953;17296;2022-02-01
13;202202;2301950,0;BARREIRA;23,0;CEARÁ;NE;NORDESTE;21343251,09;74335;8912434,09;4876;22110582,89;71648;8015435,11;8411;6022;289;6343;273;2022-02-01
14;202202;3557105,0;VOTUPORANGA;35,0;SÃO PAULO;SE;SUDESTE;151917172,43;407208;154979574,97;49851;156930747,13;343329;165036883,97;107029;38736;3522;37820;3403;2022-02-01
15;202202;2400901,0;ANTÔNIO MARTINS;24,0;RIO GRANDE DO NORTE;NE;NORDESTE;3776902,48;16921;185060,8;329;3364034,83;16133;183517,4;523;1491;30;1579;29;2022-02-01
16;202202;4308102,0;FELIZ;43,0;RIO GRANDE DO SUL;SU;SUL;13995222,63;39234;20815719,56;5585;13888254,92;30147;23814235,37;12571;4977;538;4553;543;2022-02-01
17;202202;4122800,0;SALGADO FILHO;41,0;PARANÁ;SU;SUL;3425528,98;10472;820046,23;918;2839898,45;7543;964028,46;2416;1267;93;1153;92;2022-02-01
18;202202;3139607,0;MANTENA;31,0;MINAS GERAIS;SE;SUDESTE;26354548,19;81364;7145017,61;5518;26789103,7;69078;14074334,72;15795;7850;519;7969;503;2022-02-01
19;202202;3167608,0;SIMONÉSIA;31,0;MINAS GERAIS;SE;SUDESTE;13871346,62;44533;3220692,16;3314;12363850,71;35998;2548241,22;6795;4376;267;4211;255;2022-02-01
20;202202;3149804,0;PERDIZES;31,0;MINAS GERAIS;SE;SUDESTE;17040121,95;48357;9836692,92;4209;16840290,59;35620;7441274,8;8264;4902;355;4764;335;2022-02-01
21;202202;2508554,0;LOGRADOURO;25,0;PARAÍBA;NE;NORDESTE;1294132,18;6924;157522,87;241;1378405,19;6522;110165,62;383;653;27;764;20;2022-02-01
22;202202;4218905,0;URUBICI;42,0;SANTA CATARINA;SU;SUL;11989536,79;28928;7048447,35;5333;14534630,37;23435;6709896,35;11638;3304;485;3201;498;2022-02-01
23;202202;3108305,0;BORDA DA MATA;31,0;MINAS GERAIS;SE;SUDESTE;15982016,54;45821;10424068,25;5997;18746357,32;39626;9615329,93;8834;4760;498;5021;506;2022-02-01
24;202202;4306403,0;DOIS IRMÃOS;43,0;RIO GRANDE DO SUL;SU;SUL;42500889,92;121601;21074201,79;14164;43221445,69;94336;38659052,17;31322;13261;1228;12640;1219;2022-02-01
25;202202;1720259,0;SÃO SALVADOR DO TOCANTINS;17,0;TOCANTINS;NO;NORTE;1596811,82;9148;687420,97;276;1577298,36;6937;225439,51;645;725;31;757;32;2022-02-01
26;202202;4209508,0;LAURENTINO;42,0;SANTA CATARINA;SU;SUL;8003799,68;22081;12566817,03;4853;8844328,17;16434;11181197,75;7871;2509;399;2289;394;2022-02-01
27;202202;2111029,0;SÃO JOÃO DO CARÚ;21,0;MARANHÃO;NE;NORDESTE;6078964,58;26541;1076113,9;752;6029679,19;21698;1097448,82;1492;2355;67;2374;55;2022-02-01
28;202202;3303005,0;MIRACEMA;33,0;RIO DE JANEIRO;SE;SUDESTE;19163539,95;82497;12692734,36;5317;19757135,84;70475;9893802,69;10726;7863;499;8259;499;2022-02-01
29;202202;2933406,0;WAGNER;29,0;BAHIA;NE;NORDESTE;5335236,01;27020;1615092,74;766;5630498,59;23723;1316418,8;1043;2402;78;2519;67;2022-02-01
30;202202;1507961,0;TERRA ALTA;15,0;PARÁ;NO;NORTE;5331441,86;36351;714754,7;701;5387518,82;32104;672035,23;1612;2826;49;3037;50;2022-02-01
31;202202;2611507,0;QUIPAPÁ;26,0;PERNAMBUCO;NE;NORDESTE;8003897,73;43160;1010909,51;909;8201573,25;41489;1509009,5;2645;4338;80;4677;76;2022-02-01
32;202202;2306603,0;ITATIRA;23,0;CEARÁ;NE;NORDESTE;13556300,77;78481;2928776,27;3160;12968152,41;68580;2390045,93;8326;5978;169;6305;160;2022-02-01
33;202202;3524709,0;JAGUARIÚNA;35,0;SÃO PAULO;SE;SUDESTE;104921836,37;307016;463878331,42;39071;110926514,29;246152;549048501,96;85252;27724;2546;26825;2412;2022-02-01
34;202202;4306106,0;CRUZ ALTA;43,0;RIO GRANDE DO SUL;SU;SUL;75267610,48;240492;41032240,33;24940;74106527,02;187422;47729635,66;48993;23526;1844;23022;1885;2022-02-01
35;202202;3155108,0;RIO DO PRADO;31,0;MINAS GERAIS;SE;SUDESTE;4640633,6;12983;398609,07;196;4107823,49;11400;245460,8;535;1293;25;1273;30;2022-02-01
36;202202;2502508,0;BOQUEIRÃO;25,0;PARAÍBA;NE;NORDESTE;14393351,58;59948;4223225,34;2293;14625297,11;56377;4829638,11;7398;4884;164;5082;150;2022-02-01
37;202202;2903607,0;BIRITINGA;29,0;BAHIA;NE;NORDESTE;7019760,72;43939;1185501,17;1177;7278523,02;36550;1189678,26;2271;3611;82;3902;84;2022-02-01
38;202202;4218103,0;TIMBÉ DO SUL;42,0;SANTA CATARINA;SU;SUL;3007294,27;8565;2783969,37;953;2887676,87;6609;2593312,13;2277;1164;121;1081;127;2022-02-01
39;202202;4300109,0;AGUDO;43,0;RIO GRANDE DO SUL;SU;SUL;7531081,28;26845;4846696,17;2816;6814970,77;19151;4641776,4;6890;3385;287;3327;340;2022-02-01
40;202202;4211702,0;ORLEANS;42,0;SANTA CATARINA;SU;SUL;26759860,56;61922;70366815,48;11583;26503842,21;45034;57427071,67;18692;7394;903;6958;914;2022-02-01
41;202202;3167400,0;SILVIANÓPOLIS;31,0;MINAS GERAIS;SE;SUDESTE;3746694,76;13304;722829,44;889;4352221,72;10425;802204,5;1708;1509;88;1479;93;2022-02-01
42;202202;2401008,0;APODI;24,0;RIO GRANDE DO NORTE;NE;NORDESTE;27349812,34;132672;5794224,04;5971;26374936,24;114203;5296049,9;19691;10721;440;10675;442;2022-02-01
43;202202;5221577,0;UIRAPURU;52,0;GOIÁS;CO;CENTRO-OESTE;2790310,75;8642;708330,4;609;2699548,43;6963;745963,05;1391;731;56;767;56;2022-02-01
44;202202;3104700,0;ATALÉIA;31,0;MINAS GERAIS;SE;SUDESTE;9078636,61;33189;1498038,29;1170;8565878,52;26379;1328213,06;2810;3160;127;3184;125;2022-02-01
45;202202;3138005,0;LARANJAL;31,0;MINAS GERAIS;SE;SUDESTE;3822284,1;13381;4697994,05;1709;4144745,96;11210;3085674,74;1699;1460;151;1488;155;2022-02-01
46;202202;3119302,0;COROMANDEL;31,0;MINAS GERAIS;SE;SUDESTE;35258275,66;85828;15461627,57;6972;40612133,78;65466;15218121,8;16760;8364;683;8679;726;2022-02-01
47;202202;2107456,0;OLINDA NOVA DO MARANHÃO;21,0;MARANHÃO;NE;NORDESTE;5153378,41;25275;2579229,9;945;4525009,4;22468;3912400,29;1637;2096;49;2299;44;2022-02-01
48;202202;3544707,0;SAGRES;35,0;SÃO PAULO;SE;SUDESTE;1299576,31;7084;422796,09;313;1574771,13;5143;601232,5;859;750;35;716;31;2022-02-01
49;202202;3153202,0;PRESIDENTE JUSCELINO;31,0;MINAS GERAIS;SE;SUDESTE;1969458,6;9481;976735,27;338;2274053,79;8506;547124,08;481;865;36;982;33;2022-02-01
50;202202;3132909,0;ITAMOGI;31,0;MINAS GERAIS;SE;SUDESTE;7405375,0;21347;2986104,51;1544;7858688,03;17192;4299143,98;3131;2608;187;2563;184;2022-02-01
51;202202;4313037,0;NOVA ESPERANÇA DO SUL;43,0;RIO GRANDE DO SUL;SU;SUL;3035604,1;12446;2629572,2;1313;2817462,3;8248;2082678,78;3036;1562;152;1313;157;2022-02-01
52;202202;1508035,0;TRACUATEUA;15,0;PARÁ;NO;NORTE;8104584,08;51330;1413052,88;1188;8258215,77;46947;1121801,06;1650;4419;76;4741;77;2022-02-01
53;202202;2931806,0;TREMEDAL;29,0;BAHIA;NE;NORDESTE;6464027,17;30574;760473,57;827;7359568,68;27847;1103569,16;2288;2968;65;3138;80;2022-02-01
54;202202;2309201,0;NOVA OLINDA;23,0;CEARÁ;NE;NORDESTE;9981364,07;46791;2515317,27;1902;10080927,74;41409;2844501,81;5269;3917;144;4129;140;2022-02-01
55;202202;2612471,0;SANTA CRUZ DA BAIXA VERDE;26,0;PERNAMBUCO;NE;NORDESTE;6150913,88;20732;2386870,47;666;5699126,87;19689;1630802,13;1083;2156;52;2256;66;2022-02-01
56;202202;2918902,0;LAJEDÃO;29,0;BAHIA;NE;NORDESTE;4316215,64;15576;268969,92;268;4103269,47;13089;140491,71;875;1226;38;1324;30;2022-02-01
57;202202;2902807,0;BARRA DA ESTIVA;29,0;BAHIA;NE;NORDESTE;20368475,61;63243;4126877,79;3523;22805619,67;56518;4965623,01;9374;5651;329;6048;321;2022-02-01
58;202202;4212106,0;PALMITOS;42,0;SANTA CATARINA;SU;SUL;11300549,07;29281;18777563,85;4411;11689116,3;19738;18396250,53;10116;3883;528;3485;546;2022-02-01
59;202202;2302206,0;BEBERIBE;23,0;CEARÁ;NE;NORDESTE;39077797,99;208133;20715624,29;10698;42506046,92;206394;16923564,4;24431;15369;625;15795;577;2022-02-01
60;202202;5214408,0;NAZÁRIO;52,0;GOIÁS;CO;CENTRO-OESTE;13498152,26;36280;6443544,62;2611;12368435,86;32601;5843520,75;4734;2549;155;2693;156;2022-02-01
61;202202;4202131,0;BELA VISTA DO TOLDO;42,0;SANTA CATARINA;SU;SUL;1789075,46;5367;518315,85;500;1962698,83;3810;268329,03;539;821;62;766;57;2022-02-01
62;202202;3508306,0;CABRÁLIA PAULISTA;35,0;SÃO PAULO;SE;SUDESTE;4201746,43;14742;1881534,98;1175;5055873,12;12009;2132363,9;1477;1511;101;1538;106;2022-02-01
63;202202;3156809,0;SABINÓPOLIS;31,0;MINAS GERAIS;SE;SUDESTE;10371212,43;34577;2760492,87;1649;9693168,54;28746;2303249,93;4104;3754;177;3834;198;2022-02-01
64;202202;2304301,0;FARIAS BRITO;23,0;CEARÁ;NE;NORDESTE;9784953,58;48563;1265667,74;1166;9788399,15;46640;1007745,44;2781;4738;90;5027;96;2022-02-01
65;202202;3200607,0;ARACRUZ;32,0;ESPÍRITO SANTO;SE;SUDESTE;173215332,75;558509;104681316,7;38314;151022956,3;422948;79121002,36;105227;41499;2631;40330;2560;2022-02-01
66;202202;3554003,0;TATUÍ;35,0;SÃO PAULO;SE;SUDESTE;161733615,46;565545;237869785,33;59470;179384116,58;489592;231403153,42;100472;51033;3844;50756;3682;2022-02-01
67;202202;2201739,0;BETÂNIA DO PIAUÍ;22,0;PIAUÍ;NE;NORDESTE;2319208,99;10283;1308017,18;408;2210423,29;9401;535671,28;757;909;37;996;38;2022-02-01
68;202202;2201200,0;BARRAS;22,0;PIAUÍ;NE;NORDESTE;17403536,35;95816;3928310,82;3977;18096537,74;84876;2923997,86;7285;8697;291;10050;285;2022-02-01
69;202202;2612802,0;SANTA TEREZINHA;26,0;PERNAMBUCO;NE;NORDESTE;5764035,99;26273;777511,45;593;6518539,32;23948;810653,39;2071;2411;65;2725;56;2022-02-01
70;202202;3143708,0;MORRO DO PILAR;31,0;MINAS GERAIS;SE;SUDESTE;2361340,27;9401;866081,37;524;2164394,2;8341;1016415,34;1085;911;51;966;51;2022-02-01
71;202202;2510303,0;NOVA PALMEIRA;25,0;PARAÍBA;NE;NORDESTE;3472249,59;15751;729778,07;686;3555406,24;14056;469961,38;1418;1159;41;1195;36;2022-02-01
72;202202;2800209,0;AQUIDABÃ;28,0;SERGIPE;NE;NORDESTE;11387355,41;46036;1717566,22;1823;11867512,08;45293;1025566,26;2562;4075;142;4634;134;2022-02-01
73;202202;2411809,0;SÃO FERNANDO;24,0;RIO GRANDE DO NORTE;NE;NORDESTE;2707163,42;11805;421025,17;425;2696232,9;10711;345007,68;488;897;27;930;25;2022-02-01
74;202202;3305703,0;SUMIDOURO;33,0;RIO DE JANEIRO;SE;SUDESTE;11137414,83;29324;2922375,67;1558;11832247,43;25518;2578221,85;2989;3483;149;3309;159;2022-02-01
75;202202;3129707,0;IBIRACI;31,0;MINAS GERAIS;SE;SUDESTE;10556330,07;33074;5997260,94;2357;10310925,99;25372;9533603,59;4123;3282;187;3290;181;2022-02-01
76;202202;4124806,0;SÃO JOÃO;41,0;PARANÁ;SU;SUL;9523602,92;25306;3997906,57;3581;8113710,61;16393;6777340,58;7767;2989;326;2702;339;2022-02-01
77;202202;2922656,0;NORDESTINA;29,0;BAHIA;NE;NORDESTE;8807096,69;33964;3110802,86;1505;8971070,96;27273;3225747,94;3484;2870;89;3005;88;2022-02-01
78;202202;2909505,0;CRAVOLÂNDIA;29,0;BAHIA;NE;NORDESTE;3141569,13;17600;455202,71;342;3229470,6;17076;548802,33;605;1365;26;1452;27;2022-02-01
79;202202;2612307,0;SALOÁ;26,0;PERNAMBUCO;NE;NORDESTE;7412492,24;30387;1392253,66;567;7241424,34;27902;1405707,93;2333;2963;56;3219;54;2022-02-01
80;202202;1717909,0;PONTE ALTA DO TOCANTINS;17,0;TOCANTINS;NO;NORTE;4659405,11;22257;1802689,12;2134;5326887,08;18577;1828133,41;3187;1794;125;1938;117;2022-02-01
81;202202;2923902,0;PAU BRASIL;29,0;BAHIA;NE;NORDESTE;6718764,57;34117;554698,4;793;6829491,19;30886;706846,48;2617;3028;86;3130;84;2022-02-01
82;202202;2906907,0;CARAVELAS;29,0;BAHIA;NE;NORDESTE;13196002,62;69512;2469025,79;2856;13824933,37;61851;2150767,61;4932;5501;224;5812;215;2022-02-01
83;202202;4217006,0;SÃO LUDGERO;42,0;SANTA CATARINA;SU;SUL;17618398,46;37822;47564039,51;5712;18831976,1;28843;56343922,05;14482;4401;533;4140;513;2022-02-01
84;202202;3145604,0;OLIVEIRA;31,0;MINAS GERAIS;SE;SUDESTE;43930344,07;135662;27006948,54;10161;47258351,5;113685;22936549,37;18695;12724;894;13211;961;2022-02-01
85;202202;2308351,0;MILHÃ;23,0;CEARÁ;NE;NORDESTE;8814374,94;37105;2324134,94;1835;8777094,91;34112;2278936,28;3750;3143;128;3217;116;2022-02-01
86;202202;4125456,0;SÃO JOSÉ DAS PALMEIRAS;41,0;PARANÁ;SU;SUL;2349296,62;9058;970326,23;766;2127909,62;6360;528759,18;1794;1064;86;1007;93;2022-02-01
87;202202;2708907,0;SATUBA;27,0;ALAGOAS;NE;NORDESTE;15927946,92;76844;10172667,75;6997;16691872,89;70282;6158310,86;9049;5253;359;5728;292;2022-02-01
88;202202;4300208,0;AJURICABA;43,0;RIO GRANDE DO SUL;SU;SUL;6022088,39;14112;2851790,09;1147;4762498,75;8693;7369964,36;2839;1881;147;1594;159;2022-02-01
89;202202;4122909,0;SALTO DO ITARARÉ;41,0;PARANÁ;SU;SUL;4805806,2;16977;1938603,78;1017;4215993,0;13433;1823526,08;2523;1523;72;1427;69;2022-02-01
90;202202;3518008,0;GUARANI D'OESTE;35,0;SÃO PAULO;SE;SUDESTE;1586506,26;5504;718856,37;430;1658085,92;4479;905095,02;842;628;35;611;35;2022-02-01
91;202202;2607000,0;INAJÁ;26,0;PERNAMBUCO;NE;NORDESTE;6885334,82;27088;579534,6;712;6114696,18;23354;1466653,41;2234;2900;80;2815;73;2022-02-01
92;202202;3533809,0;ÓLEO;35,0;SÃO PAULO;SE;SUDESTE;1230856,85;5115;944282,35;319;1703510,26;4137;751712,43;334;675;32;662;23;2022-02-01
93;202202;3130408,0;IJACI;31,0;MINAS GERAIS;SE;SUDESTE;5304953,51;19762;4863357,11;3791;5372727,95;17522;5823335,17;3544;1914;215;1983;206;2022-02-01
94;202202;1707702,0;FILADÉLFIA;17,0;TOCANTINS;NO;NORTE;5051466,41;28889;797751,82;708;4965935,78;23706;533550,4;1543;2094;60;2168;63;2022-02-01
95;202202;3514304,0;DOURADO;35,0;SÃO PAULO;SE;SUDESTE;7932638,87;25782;2576791,19;2653;7617451,96;20865;3906530,67;4382;2832;240;2683;230;2022-02-01
96;202202;4306908,0;ENCRUZILHADA DO SUL;43,0;RIO GRANDE DO SUL;SU;SUL;16279063,63;55759;8940415,48;5036;16566524,8;42773;8173983,67;9747;6427;455;6116;437;2022-02-01
97;202202;2206001,0;MARCOS PARENTE;22,0;PIAUÍ;NE;NORDESTE;2620881,48;17323;412247,35;456;2810966,3;14148;306102,03;1041;1324;37;1438;32;2022-02-01
98;202202;3523206,0;ITARARÉ;35,0;SÃO PAULO;SE;SUDESTE;47637900,81;179115;35525920,19;19817;53195808,01;155829;32785595,28;35802;17325;1244;17697;1257;2022-02-01
99;202202;2806800,0;SÃO DOMINGOS;28,0;SERGIPE;NE;NORDESTE;7219254,04;29057;1664701,11;1492;7751911,15;25817;3243077,85;2370;2369;83;2650;71;2022-02-01
100;202202;4319109,0;SÃO MARTINHO;43,0;RIO GRANDE DO SUL;SU;SUL;3511787,39;9991;4618790,78;1669;3250436,98;6612;4072452,24;3278;1346;165;1199;196;2022-02-01
101;202202;3205002,0;SERRA;32,0;ESPÍRITO SANTO;SE;SUDESTE;752968877,66;3179799;785651998,93;297903;783428762,99;2750626;847627777,7;557305;230039;17626;232051;15982;2022-02-01
102;202202;2513653,0;JOCA CLAUDINO;25,0;PARAÍBA;NE;NORDESTE;1699691,89;7336;61751,13;82;1567825,46;7142;73897,79;216;645;10;714;11;2022-02-01
103;202202;4321493,0;TOROPI;43,0;RIO GRANDE DO SUL;SU;SUL;1062486,95;3957;474191,68;239;1206332,91;2815;472186,48;509;504;35;453;38;2022-02-01
104;202202;2307007,0;JAGUARUANA;23,0;CEARÁ;NE;NORDESTE;25945520,17;103295;6230478,67;4869;26332666,63;90807;9033145,15;11326;8811;330;8990;316;2022-02-01
105;202202;5000906,0;ANTÔNIO JOÃO;50,0;MATO GROSSO DO SUL;CO;CENTRO-OESTE;9319798,18;35279;5995043,59;2058;9044864,98;27941;4122261,28;6266;3104;157;2955;167;2022-02-01
106;202202;5209952,0;INDIARA;52,0;GOIÁS;CO;CENTRO-OESTE;20989437,6;67722;9992737,18;5486;20182372,47;58450;12488884,8;12312;5241;333;5514;330;2022-02-01
107;202202;3104403,0;ARGIRITA;31,0;MINAS GERAIS;SE;SUDESTE;1569345,61;5906;724888,16;298;1528844,16;4958;521817,01;815;648;42;687;48;2022-02-01
108;202202;3132701,0;ITAMBACURI;31,0;MINAS GERAIS;SE;SUDESTE;20301069,15;63581;3346040,81;2088;17919702,48;53032;3584635,29;6131;6038;227;6134;239;2022-02-01
109;202202;4109708,0;IBAITI;41,0;PARANÁ;SU;SUL;29053019,55;94149;70933786,9;12409;30392690,3;78920;21723056,14;22845;9151;863;9474;845;2022-02-01
110;202202;1400456,0;PACARAIMA;14,0;RORAIMA;NO;NORTE;65714376,0;403774;8625149,54;2985;68514594,34;386364;12537232,1;8185;31023;150;30573;160;2022-02-01
111;202202;2900355,0;ADUSTINA;29,0;BAHIA;NE;NORDESTE;11539745,89;36368;1895781,39;1087;11244602,18;32681;895145,94;1795;3549;104;3533;103;2022-02-01
112;202202;5216809,0;PETROLINA DE GOIÁS;52,0;GOIÁS;CO;CENTRO-OESTE;13220648,13;27906;7697359,11;2868;13960863,64;24621;7378911,56;4712;2434;179;2527;182;2022-02-01
113;202202;2900108,0;ABAÍRA;29,0;BAHIA;NE;NORDESTE;3457429,36;13004;1320735,13;620;3305184,5;12513;1304727,88;881;1607;42;1586;55;2022-02-01
114;202202;4111001,0;ITAMBARACÁ;41,0;PARANÁ;SU;SUL;4184470,58;15740;740757,21;966;4188210,48;12633;770081,02;2070;1762;101;1751;91;2022-02-01
115;202202;3106705,0;BETIM;31,0;MINAS GERAIS;SE;SUDESTE;617158252,78;2627367;1755371504,3;218756;652307302,35;2334131;913882023,1;332305;197013;13468;202474;12322;2022-02-01
116;202202;2604908,0;CUMARU;26,0;PERNAMBUCO;NE;NORDESTE;6921010,8;31135;673794,42;680;7634951,21;30370;396200,35;1073;2870;45;3189;50;2022-02-01
117;202202;1707306,0;DUERÉ;17,0;TOCANTINS;NO;NORTE;3889434,4;14403;2136676,59;728;3788857,47;11437;1386036,07;1142;1210;49;1349;54;2022-02-01
118;202202;2515930,0;SERTÃOZINHO;25,0;PARAÍBA;NE;NORDESTE;2498040,54;10174;356269,72;343;2177093,87;9694;195585,8;663;920;33;1001;33;2022-02-01
119;202202;3139250,0;MAMONAS;31,0;MINAS GERAIS;SE;SUDESTE;4066880,66;12455;717812,33;494;3590942,37;16391;512851,7;1027;1176;40;1217;39;2022-02-01
120;202202;2507408,0;JERICÓ;25,0;PARAÍBA;NE;NORDESTE;11284113,64;25148;1567578,81;1045;8212028,45;26245;1674222,18;2236;1922;72;2077;56;2022-02-01
121;202202;3547007,0;SANTA MARIA DA SERRA;35,0;SÃO PAULO;SE;SUDESTE;4611767,75;17761;3366075,27;1365;5452445,15;14958;3165181,21;2056;1916;128;1859;128;2022-02-01
122;202202;2303204,0;CARIRIAÇU;23,0;CEARÁ;NE;NORDESTE;16879969,08;77201;2214642,89;1993;18040020,83;70615;1972918,63;4196;6411;162;7055;137;2022-02-01
123;202202;4305504,0;CIRÍACO;43,0;RIO GRANDE DO SUL;SU;SUL;2675985,19;8103;1458876,53;860;2338875,4;5379;1304975,73;1544;1119;96;986;108;2022-02-01
124;202202;2311702,0;RERIUTABA;23,0;CEARÁ;NE;NORDESTE;8823967,66;48795;2628200,68;2185;8552693,64;42955;1858500,36;4856;4436;171;4480;149;2022-02-01
125;202202;4101309,0;ANTÔNIO OLINTO;41,0;PARANÁ;SU;SUL;3405673,74;10608;796448,19;981;3865182,23;7788;1031886,31;1354;1405;107;1394;115;2022-02-01
126;202202;2407807,0;MONTE ALEGRE;24,0;RIO GRANDE DO NORTE;NE;NORDESTE;12634187,1;76147;3563994,27;2774;13220215,71;70636;3453152,39;6785;5586;181;5857;157;2022-02-01
127;202202;1712504,0;MARIANÓPOLIS DO TOCANTINS;17,0;TOCANTINS;NO;NORTE;5878774,03;16229;1477882,77;1180;5106173,47;13778;1566699,45;2675;1266;79;1346;81;2022-02-01
128;202202;5000609,0;AMAMBAI;50,0;MATO GROSSO DO SUL;CO;CENTRO-OESTE;41386155,66;123281;19925838,14;10913;37407159,33;92448;27774732,77;34360;10766;769;10491;788;2022-02-01
129;202202;2109551,0;RIBAMAR FIQUENE;21,0;MARANHÃO;NE;NORDESTE;5217206,63;27888;1037419,66;802;5379196,54;23884;838987,98;1984;2068;46;2244;48;2022-02-01
130;202202;2504207,0;CATINGUEIRA;25,0;PARAÍBA;NE;NORDESTE;2548132,58;11223;427320,43;318;2604824,25;10164;256950,78;738;1032;28;1184;30;2022-02-01
131;202202;2211506,0;VERA MENDES;22,0;PIAUÍ;NE;NORDESTE;2067615,61;6826;251636,48;285;1957804,73;6333;78907,74;354;532;18;594;15;2022-02-01
132;202202;4301057,0;ARROIO DO SAL;43,0;RIO GRANDE DO SUL;SU;SUL;12576187,12;44127;10338968,42;9433;14246886,03;40623;10092851,02;18544;4051;580;4036;563;2022-02-01
133;202202;1301506,0;ENVIRA;13,0;AMAZONAS;NO;NORTE;3345824,1;19492;924581,29;547;2985307,25;14998;311099,17;417;1612;59;1613;59;2022-02-01
134;202202;3162559,0;SÃO JOÃO DO MANHUAÇU;31,0;MINAS GERAIS;SE;SUDESTE;6098883,46;22048;4718658,1;1770;6658662,7;18747;4409791,27;2799;2320;161;2294;152;2022-02-01
135;202202;2707305,0;PORTO CALVO;27,0;ALAGOAS;NE;NORDESTE;17636988,43;78363;5201178,08;3515;18353224,56;76033;5096635,97;5408;6127;223;7211;201;2022-02-01
136;202202;2902708,0;BARRA;29,0;BAHIA;NE;NORDESTE;16723872,6;90665;3685037,16;3907;16139727,1;75988;3197582,61;6089;8123;304;9174;316;2022-02-01
137;202202;5107297,0;SÃO JOSÉ DO POVO;51,0;MATO GROSSO;CO;CENTRO-OESTE;2071346,92;7169;292064,16;339;2369489,44;5700;249086,73;517;734;28;705;23;2022-02-01
138;202202;4117057,0;NOVA LARANJEIRAS;41,0;PARANÁ;SU;SUL;6826870,42;16208;2116896,65;1591;5944491,05;11837;2898754,76;2487;2046;146;1862;149;2022-02-01
139;202202;2406304,0;LAGOA DE PEDRAS;24,0;RIO GRANDE DO NORTE;NE;NORDESTE;3520671,31;18977;537913,85;502;3707007,53;17915;255243,04;782;1527;34;1643;28;2022-02-01
140;202202;2930758,0;SÍTIO DO MATO;29,0;BAHIA;NE;NORDESTE;5827539,74;24212;3495948,4;1041;6060477,11;22083;2537790,85;743;2319;61;2766;47;2022-02-01
141;202202;3142700,0;MONTALVÂNIA;31,0;MINAS GERAIS;SE;SUDESTE;11911186,09;47380;3244862,09;1972;11229260,54;39232;2256288,13;5022;4335;148;4448;164;2022-02-01
