;Indicador;Data;Reuniao;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
35;Selic;2024-11-07;R6/2026;10,1283;10,0;1,011;8,25;13,0;115;0
36;Selic;2024-11-07;R5/2026;10,3767;10,25;1,0941;8,25;13,0;73;1
37;Selic;2024-11-07;R5/2026;10,2815;10,0;1,0133;8,25;13,0;119;0
38;Selic;2024-11-07;R4/2026;10,5709;10,5;1,0595;8,5;13,0;74;1
39;Selic;2024-11-07;R4/2026;10,4625;10,375;0,9899;8,5;13,0;120;0
40;Selic;2024-11-07;R3/2026;10,8233;10,75;1,0636;9,0;13,0;75;1
41;Selic;2024-11-07;R3/2026;10,6963;10,5;0,996;9,0;13,0;121;0
42;Selic;2024-11-07;R2/2026;11,1033;11,0;1,0536;9,0;13,0;75;1
43;Selic;2024-11-07;R2/2026;10,9525;11,0;0,9945;9,0;13,0;121;0
44;Selic;2024-11-07;R1/2026;11,4267;11,5;1,0286;9,5;13,25;75;1
45;Selic;2024-11-07;R1/2026;11,2582;11,125;0,9714;9,0;13,25;122;0
46;Selic;2024-11-07;R8/2025;11,7861;12,0;0,9788;10,0;13,75;83;1
47;Selic;2024-11-07;R8/2025;11,5797;11,5;0,9349;9,75;13,75;138;0
48;Selic;2024-11-07;R7/2025;12,0188;12,0;0,9072;10,0;14,0;80;1
49;Selic;2024-11-07;R7/2025;11,8284;11,75;0,856;10,0;14,0;134;0
50;Selic;2024-11-07;R6/2025;12,2281;12,5;0,7957;10,0;14,25;80;1
51;Selic;2024-11-07;R6/2025;12,0616;12,0;0,7558;10,0;14,25;134;0
52;Selic;2024-11-07;R5/2025;12,375;12,5;0,6801;10,0;14,25;80;1
53;Selic;2024-11-07;R5/2025;12,2295;12,25;0,6515;10,0;14,25;134;0
54;Selic;2024-11-07;R4/2025;12,4563;12,5;0,5953;10,5;14,25;80;1
55;Selic;2024-11-07;R4/2025;12,3265;12,5;0,574;10,5;14,25;134;0
56;Selic;2024-11-07;R3/2025;12,4563;12,5;0,5241;11,0;14,0;80;1
57;Selic;2024-11-07;R3/2025;12,3358;12,5;0,5057;11,0;14,0;134;0
58;Selic;2024-11-07;R2/2025;12,3938;12,5;0,4085;11,25;13,5;80;1
59;Selic;2024-11-07;R2/2025;12,2929;12,5;0,4069;11,25;13,5;134;0
60;Selic;2024-11-07;R1/2025;12,1531;12,25;0,2484;11,25;12,75;80;1
61;Selic;2024-11-07;R1/2025;12,1037;12,25;0,2535;11,25;12,75;135;0
62;Selic;2024-11-07;R8/2024;11,738;11,75;0,1158;11,25;12,0;83;1
63;Selic;2024-11-07;R8/2024;11,7216;11,75;0,1399;11,25;12,25;141;0
64;Selic;2024-11-06;R6/2026;10,1781;10,0;1,1207;8,25;13,0;73;1
65;Selic;2024-11-06;R6/2026;10,1096;10,0;1,018;8,25;13,0;114;0
66;Selic;2024-11-06;R5/2026;10,3567;10,0;1,1167;8,25;13,0;75;1
67;Selic;2024-11-06;R5/2026;10,2648;10,0;1,0232;8,25;13,0;118;0
68;Selic;2024-11-06;R4/2026;10,5592;10,5;1,0821;8,5;13,0;76;1
69;Selic;2024-11-06;R4/2026;10,4475;10,25;1,0031;8,5;13,0;119;0
70;Selic;2024-11-06;R3/2026;10,8149;10,75;1,0777;9,0;13,0;77;1
71;Selic;2024-11-06;R3/2026;10,6771;10,5;1,0121;9,0;13,0;120;0
72;Selic;2024-11-06;R2/2026;11,0974;11,0;1,0577;9,0;13,0;77;1
73;Selic;2024-11-06;R2/2026;10,9292;11,0;1,0115;9,0;13,0;120;0
74;Selic;2024-11-06;R1/2026;11,4188;11,5;1,0236;9,5;13,25;77;1
75;Selic;2024-11-06;R1/2026;11,2293;11,0;0,9873;9,0;13,25;121;0
76;Selic;2024-11-06;R8/2025;11,7441;11,75;0,9822;10,0;13,75;85;1
77;Selic;2024-11-06;R8/2025;11,531;11,5;0,9487;9,75;13,75;137;0
78;Selic;2024-11-06;R7/2025;11,9787;12,0;0,899;10,0;14,0;82;1
79;Selic;2024-11-06;R7/2025;11,782;11,75;0,8635;10,0;14,0;133;0
80;Selic;2024-11-06;R6/2025;12,1982;12,25;0,7835;10,0;14,25;82;1
81;Selic;2024-11-06;R6/2025;12,0226;12,0;0,7606;10,0;14,25;133;0
82;Selic;2024-11-06;R5/2025;12,3506;12,5;0,6682;10,0;14,25;82;1
83;Selic;2024-11-06;R5/2025;12,1974;12,25;0,6533;10,0;14,25;133;0
84;Selic;2024-11-06;R4/2025;12,4329;12,5;0,5805;10,5;14,25;82;1
85;Selic;2024-11-06;R4/2025;12,3008;12,5;0,5692;10,5;14,25;133;0
86;Selic;2024-11-06;R3/2025;12,436;12,5;0,5133;11,0;14,0;82;1
87;Selic;2024-11-06;R3/2025;12,3158;12,5;0,5008;11,0;14,0;133;0
88;Selic;2024-11-06;R2/2025;12,378;12,5;0,4005;11,25;13,5;82;1
89;Selic;2024-11-06;R2/2025;12,2744;12,25;0,4054;11,25;13,5;133;0
90;Selic;2024-11-06;R1/2025;12,1524;12,25;0,2462;11,25;12,75;82;1
91;Selic;2024-11-06;R1/2025;12,0951;12,25;0,2588;11,25;12,75;134;0
92;Selic;2024-11-06;R8/2024;11,7441;11,75;0,1271;11,25;12,25;85;1
93;Selic;2024-11-06;R8/2024;11,7179;11,75;0,1459;11,25;12,25;140;0
94;Selic;2024-11-06;R7/2024;11,2439;11,25;0,0549;11,0;11,5;82;1
95;Selic;2024-11-06;R7/2024;11,237;11,25;0,0702;10,75;11,5;135;0
96;Selic;2024-11-05;R6/2026;10,1558;10,0;1,1005;8,25;13,0;77;1
97;Selic;2024-11-05;R6/2026;10,1096;10,0;1,018;8,25;13,0;114;0
98;Selic;2024-11-05;R5/2026;10,3323;10,0;1,1007;8,25;13,0;79;1
99;Selic;2024-11-05;R5/2026;10,2648;10,0;1,0232;8,25;13,0;118;0
100;Selic;2024-11-05;R4/2026;10,5375;10,5;1,0651;8,5;13,0;80;1
101;Selic;2024-11-05;R4/2026;10,4475;10,25;1,0031;8,5;13,0;119;0
102;Selic;2024-11-05;R3/2026;10,7932;10,75;1,0612;9,0;13,0;81;1
103;Selic;2024-11-05;R3/2026;10,6771;10,5;1,0121;9,0;13,0;120;0
104;Selic;2024-11-05;R2/2026;11,071;11,0;1,044;9,0;13,0;81;1
105;Selic;2024-11-05;R2/2026;10,9292;11,0;1,0115;9,0;13,0;120;0
106;Selic;2024-11-05;R1/2026;11,392;11,25;1,0084;9,5;13,25;81;1
107;Selic;2024-11-05;R1/2026;11,2293;11,0;0,9873;9,0;13,25;121;0
108;Selic;2024-11-05;R8/2025;11,7;11,5;0,9791;10,0;13,75;90;1
109;Selic;2024-11-05;R8/2025;11,531;11,5;0,9487;9,75;13,75;137;0
110;Selic;2024-11-05;R7/2025;11,9368;12,0;0,9012;10,0;14,0;87;1
111;Selic;2024-11-05;R7/2025;11,782;11,75;0,8635;10,0;14,0;133;0
112;Selic;2024-11-05;R6/2025;12,1667;12,25;0,7839;10,0;14,25;87;1
113;Selic;2024-11-05;R6/2025;12,0226;12,0;0,7606;10,0;14,25;133;0
114;Selic;2024-11-05;R5/2025;12,3247;12,5;0,6643;10,0;14,25;87;1
115;Selic;2024-11-05;R5/2025;12,1974;12,25;0,6533;10,0;14,25;133;0
116;Selic;2024-11-05;R4/2025;12,4167;12,5;0,5719;10,5;14,25;87;1
117;Selic;2024-11-05;R4/2025;12,3008;12,5;0,5692;10,5;14,25;133;0
118;Selic;2024-11-05;R3/2025;12,4195;12,5;0,5078;11,0;14,0;87;1
119;Selic;2024-11-05;R3/2025;12,3158;12,5;0,5008;11,0;14,0;133;0
120;Selic;2024-11-05;R2/2025;12,3621;12,5;0,4025;11,25;13,5;87;1
121;Selic;2024-11-05;R2/2025;12,2744;12,25;0,4054;11,25;13,5;133;0
122;Selic;2024-11-05;R1/2025;12,1379;12,25;0,2564;11,25;12,75;87;1
123;Selic;2024-11-05;R1/2025;12,0951;12,25;0,2588;11,25;12,75;134;0
124;Selic;2024-11-05;R8/2024;11,7361;11,75;0,1362;11,25;12,25;90;1
125;Selic;2024-11-05;R8/2024;11,7179;11,75;0,1459;11,25;12,25;140;0
126;Selic;2024-11-05;R7/2024;11,2414;11,25;0,0593;11,0;11,5;87;1
127;Selic;2024-11-05;R7/2024;11,237;11,25;0,0702;10,75;11,5;135;0
128;Selic;2024-11-04;R6/2026;10,1688;10,0;1,0956;8,25;13,0;77;1
129;Selic;2024-11-04;R6/2026;10,1075;10,0;1,0201;8,25;13,0;114;0
130;Selic;2024-11-04;R5/2026;10,3449;10,0;1,0968;8,25;13,0;79;1
131;Selic;2024-11-04;R5/2026;10,2627;10,0;1,025;8,25;13,0;118;0
132;Selic;2024-11-04;R4/2026;10,55;10,5;1,0617;8,5;13,0;80;1
133;Selic;2024-11-04;R4/2026;10,4454;10,25;1,0048;8,5;13,0;119;0
134;Selic;2024-11-04;R3/2026;10,8056;10,75;1,0577;9,0;13,0;81;1
135;Selic;2024-11-04;R3/2026;10,675;10,5;1,0138;9,0;13,0;120;0
136;Selic;2024-11-04;R2/2026;11,0833;11,0;1,0401;9,0;13,0;81;1
137;Selic;2024-11-04;R2/2026;10,9271;11,0;1,0131;9,0;13,0;120;0
138;Selic;2024-11-04;R1/2026;11,4043;11,5;1,0035;9,5;13,25;81;1
139;Selic;2024-11-04;R1/2026;11,2273;11,0;0,9891;9,0;13,25;121;0
140;Selic;2024-11-04;R8/2025;11,7111;11,625;0,9739;10,0;13,75;90;1
141;Selic;2024-11-04;R8/2025;11,5274;11,5;0,9507;9,75;13,75;137;0
142;Selic;2024-11-04;R7/2025;11,9489;12,0;0,8904;10,0;14,0;88;1
143;Selic;2024-11-04;R7/2025;11,7801;11,75;0,8655;10,0;14,0;133;0
144;Selic;2024-11-04;R6/2025;12,1818;12,25;0,774;10,0;14,25;88;1
145;Selic;2024-11-04;R6/2025;12,0207;12,0;0,7628;10,0;14,25;133;0
146;Selic;2024-11-04;R5/2025;12,3381;12,5;0,655;10,0;14,25;88;1
147;Selic;2024-11-04;R5/2025;12,1955;12,25;0,6556;10,0;14,25;133;0
148;Selic;2024-11-04;R4/2025;12,429;12,5;0,5653;10,5;14,25;88;1
149;Selic;2024-11-04;R4/2025;12,2989;12,5;0,5715;10,5;14,25;133;0
150;Selic;2024-11-04;R3/2025;12,4318;12,5;0,501;11,0;14,0;88;1
151;Selic;2024-11-04;R3/2025;12,3139;12,5;0,5034;11,0;14,0;133;0
152;Selic;2024-11-04;R2/2025;12,3722;12,5;0,3953;11,25;13,5;88;1
153;Selic;2024-11-04;R2/2025;12,2726;12,25;0,4084;11,25;13,5;133;0
154;Selic;2024-11-04;R1/2025;12,1449;12,25;0,252;11,25;12,75;88;1
155;Selic;2024-11-04;R1/2025;12,0933;12,25;0,2622;11,25;12,75;134;0
156;Selic;2024-11-04;R8/2024;11,7389;11,75;0,1339;11,25;12,25;90;1
157;Selic;2024-11-04;R8/2024;11,7161;11,75;0,15;11,25;12,25;140;0
158;Selic;2024-11-04;R7/2024;11,2415;11,25;0,059;11,0;11,5;88;1
159;Selic;2024-11-04;R7/2024;11,2352;11,25;0,073;10,75;11,5;135;0
160;Selic;2024-11-01;R6/2026;10,1818;10,0;1,0876;8,25;13,0;77;1
161;Selic;2024-11-01;R6/2026;10,1065;10,0;1,0157;8,25;13,0;115;0
162;Selic;2024-11-01;R5/2026;10,3625;10,125;1,0788;8,25;13,0;80;1
163;Selic;2024-11-01;R5/2026;10,2521;10,0;1,0229;8,25;13,0;120;0
164;Selic;2024-11-01;R4/2026;10,5741;10,5;1,0404;8,5;13,0;81;1
165;Selic;2024-11-01;R4/2026;10,4339;10,25;1,005;8,5;13,0;121;0
166;Selic;2024-11-01;R3/2026;10,8457;10,75;1,0361;9,0;13,0;81;1
167;Selic;2024-11-01;R3/2026;10,6619;10,5;1,0167;9,0;13,0;122;0
168;Selic;2024-11-01;R2/2026;11,1265;11,0;1,0177;9,0;13,0;81;1
169;Selic;2024-11-01;R2/2026;10,916;11,0;1,013;9,0;13,0;122;0
170;Selic;2024-11-01;R1/2026;11,4506;11,5;0,9793;9,5;13,25;81;1
171;Selic;2024-11-01;R1/2026;11,2175;11,0;0,9872;9,0;13,25;123;0
172;Selic;2024-11-01;R8/2025;11,75;11,75;0,9531;10,0;13,75;90;1
173;Selic;2024-11-01;R8/2025;11,5214;11,5;0,9447;9,75;13,75;140;0
174;Selic;2024-11-01;R7/2025;11,9801;12,0;0,8629;10,0;14,0;88;1
175;Selic;2024-11-01;R7/2025;11,7739;11,75;0,8574;10,0;14,0;136;0
176;Selic;2024-11-01;R6/2025;12,2188;12,25;0,746;10,0;14,25;88;1
177;Selic;2024-11-01;R6/2025;12,0221;12,0;0,7618;10,0;14,25;136;0
178;Selic;2024-11-01;R5/2025;12,375;12,5;0,6147;10,5;14,25;88;1
179;Selic;2024-11-01;R5/2025;12,1985;12,25;0,6552;10,0;14,25;136;0
180;Selic;2024-11-01;R4/2025;12,4602;12,5;0,5355;10,75;14,25;88;1
181;Selic;2024-11-01;R4/2025;12,2996;12,5;0,5727;10,5;14,25;136;0
182;Selic;2024-11-01;R3/2025;12,4517;12,5;0,478;11,0;14,0;88;1
183;Selic;2024-11-01;R3/2025;12,3107;12,375;0,4995;11,0;14,0;136;0
184;Selic;2024-11-01;R2/2025;12,3835;12,5;0,3843;11,25;13,5;88;1
185;Selic;2024-11-01;R2/2025;12,2684;12,25;0,4052;11,25;13,5;136;0
186;Selic;2024-11-01;R1/2025;12,1506;12,25;0,2487;11,25;12,75;88;1
187;Selic;2024-11-01;R1/2025;12,0912;12,25;0,2596;11,25;12,75;137;0
188;Selic;2024-11-01;R8/2024;11,7363;11,75;0,1355;11,25;12,25;91;1
189;Selic;2024-11-01;R8/2024;11,715;11,75;0,1496;11,25;12,25;143;0
190;Selic;2024-11-01;R7/2024;11,2416;11,25;0,0587;11,0;11,5;89;1
191;Selic;2024-11-01;R7/2024;11,2338;11,25;0,0747;10,75;11,5;139;0
192;Selic;2024-10-31;R6/2026;9,9545;9,75;0,9875;8,5;13,0;33;1
193;Selic;2024-10-31;R6/2026;9,9811;9,75;0,9283;8,25;13,0;106;0
194;Selic;2024-10-31;R5/2026;10,0714;9,75;0,9365;8,5;13,0;35;1
195;Selic;2024-10-31;R5/2026;10,1316;10,0;0,9655;8,25;13,0;114;0
196;Selic;2024-10-31;R4/2026;10,2857;10,0;0,8847;9,0;13,0;35;1
197;Selic;2024-10-31;R4/2026;10,3;10,0;0,9494;8,5;13,0;115;0
198;Selic;2024-10-31;R3/2026;10,5143;10,5;0,8843;9,25;13,0;35;1
199;Selic;2024-10-31;R3/2026;10,4957;10,5;0,9559;9,0;13,0;116;0
200;Selic;2024-10-31;R2/2026;10,8143;10,75;0,8708;9,5;13,0;35;1
201;Selic;2024-10-31;R2/2026;10,7392;10,5;0,9442;9,0;13,0;116;0
202;Selic;2024-10-31;R1/2026;11,1571;11,0;0,8537;9,75;13,0;35;1
203;Selic;2024-10-31;R1/2026;11,0342;10,75;0,9134;9,0;13,25;117;0
204;Selic;2024-10-31;R8/2025;11,4878;11,5;0,8747;10,0;13,0;41;1
205;Selic;2024-10-31;R8/2025;11,3496;11,25;0,8665;9,5;13,5;133;0
206;Selic;2024-10-31;R7/2025;11,7378;11,75;0,8095;10,0;13,5;41;1
207;Selic;2024-10-31;R7/2025;11,6202;11,75;0,7733;10,0;13,5;129;0
208;Selic;2024-10-31;R6/2025;12,0061;12,0;0,7397;10,0;13,5;41;1
209;Selic;2024-10-31;R6/2025;11,8857;12,0;0,6855;10,0;13,5;129;0
210;Selic;2024-10-31;R5/2025;12,1707;12,25;0,6402;10,0;13,5;41;1
211;Selic;2024-10-31;R5/2025;12,0814;12,0;0,5875;10,0;13,5;129;0
212;Selic;2024-10-31;R4/2025;12,2927;12,5;0,5435;10,5;13,5;41;1
213;Selic;2024-10-31;R4/2025;12,188;12,0;0,5068;10,5;13,5;129;0
214;Selic;2024-10-31;R3/2025;12,3049;12,5;0,457;11,0;13,25;41;1
215;Selic;2024-10-31;R3/2025;12,2093;12,0;0,4378;11,0;13,25;129;0
216;Selic;2024-10-31;R2/2025;12,2622;12,5;0,3446;11,25;12,75;41;1
217;Selic;2024-10-31;R2/2025;12,1822;12,0;0,36;11,25;12,75;129;0
218;Selic;2024-10-31;R1/2025;12,0854;12,25;0,225;11,25;12,25;41;1
219;Selic;2024-10-31;R1/2025;12,0442;12,0;0,2431;11,25;12,25;130;0
220;Selic;2024-10-31;R8/2024;11,7262;11,75;0,1424;11,25;12,25;42;1
221;Selic;2024-10-31;R8/2024;11,6985;11,75;0,1549;11,25;12,25;136;0
222;Selic;2024-10-31;R7/2024;11,2381;11,25;0,0532;11,0;11,25;42;1
223;Selic;2024-10-31;R7/2024;11,2273;11,25;0,084;10,75;11,5;132;0
224;Selic;2024-10-30;R6/2026;9,8485;9,75;0,814;8,5;13,0;33;1
225;Selic;2024-10-30;R6/2026;9,9524;9,75;0,9031;8,25;13,0;105;0
226;Selic;2024-10-30;R5/2026;9,95;9,75;0,7833;8,5;13,0;35;1
227;Selic;2024-10-30;R5/2026;10,1062;10,0;0,9465;8,25;13,0;113;0
228;Selic;2024-10-30;R4/2026;10,1357;10,0;0,7472;9,0;13,0;35;1
229;Selic;2024-10-30;R4/2026;10,2807;10,0;0,9314;8,5;13,0;114;0
230;Selic;2024-10-30;R3/2026;10,3403;10,25;0,7754;9,25;13,0;36;1
231;Selic;2024-10-30;R3/2026;10,4826;10,5;0,9393;9,0;13,0;115;0
232;Selic;2024-10-30;R2/2026;10,6181;10,5;0,8068;9,5;13,0;36;1
233;Selic;2024-10-30;R2/2026;10,7283;10,5;0,9323;9,0;13,0;115;0
234;Selic;2024-10-30;R1/2026;10,9514;10,75;0,8225;9,75;13,0;36;1
235;Selic;2024-10-30;R1/2026;11,0237;10,875;0,9073;9,0;13,25;116;0
236;Selic;2024-10-30;R8/2025;11,3095;11,25;0,8674;10,0;13,0;42;1
237;Selic;2024-10-30;R8/2025;11,3477;11,25;0,8686;9,5;13,5;133;0
238;Selic;2024-10-30;R7/2025;11,5595;11,5;0,8324;10,0;13,5;42;1
239;Selic;2024-10-30;R7/2025;11,6143;11,75;0,777;10,0;13,5;129;0
240;Selic;2024-10-30;R6/2025;11,8452;12,0;0,7753;10,0;13,5;42;1
241;Selic;2024-10-30;R6/2025;11,876;12,0;0,6899;10,0;13,5;129;0
242;Selic;2024-10-30;R5/2025;12,0417;12,0;0,6657;10,0;13,5;42;1
243;Selic;2024-10-30;R5/2025;12,0698;12,0;0,5906;10,0;13,5;129;0
244;Selic;2024-10-30;R4/2025;12,1726;12,0;0,576;10,5;13,5;42;1
245;Selic;2024-10-30;R4/2025;12,1764;12,0;0,5119;10,5;13,5;129;0
246;Selic;2024-10-30;R3/2025;12,1964;12,0;0,4865;11,0;13,25;42;1
247;Selic;2024-10-30;R3/2025;12,1977;12,0;0,4443;11,0;13,25;129;0
248;Selic;2024-10-30;R2/2025;12,1726;12,0;0,372;11,25;12,75;42;1
249;Selic;2024-10-30;R2/2025;12,1705;12,0;0,367;11,25;12,75;129;0
250;Selic;2024-10-30;R1/2025;12,0417;12,0;0,2495;11,25;12,25;42;1
251;Selic;2024-10-30;R1/2025;12,0385;12,0;0,2528;11,25;12,25;130;0
252;Selic;2024-10-30;R8/2024;11,686;11,75;0,1534;11,25;11,75;43;1
253;Selic;2024-10-30;R8/2024;11,6912;11,75;0,1523;11,25;12,0;136;0
254;Selic;2024-10-30;R7/2024;11,2326;11,25;0,0637;11,0;11,25;43;1
255;Selic;2024-10-30;R7/2024;11,2254;11,25;0,0863;10,75;11,5;132;0
256;Selic;2024-10-29;R6/2026;9,8667;9,75;0,8459;8,5;13,0;30;1
257;Selic;2024-10-29;R6/2026;9,9567;9,75;0,9195;8,0;13,0;104;0
258;Selic;2024-10-29;R5/2026;9,9609;9,75;0,8176;8,5;13,0;32;1
259;Selic;2024-10-29;R5/2026;10,1116;10,0;0,9641;8,0;13,0;112;0
260;Selic;2024-10-29;R4/2026;10,125;10,0;0,793;9,0;13,0;32;1
261;Selic;2024-10-29;R4/2026;10,2832;10,0;0,9469;8,5;13,0;113;0
262;Selic;2024-10-29;R3/2026;10,3106;10,25;0,8258;9,0;13,0;33;1
263;Selic;2024-10-29;R3/2026;10,4781;10,5;0,9595;8,5;13,0;114;0
264;Selic;2024-10-29;R2/2026;10,5985;10,5;0,8415;9,5;13,0;33;1
265;Selic;2024-10-29;R2/2026;10,7259;10,625;0,9441;9,0;13,0;114;0
266;Selic;2024-10-29;R1/2026;10,9394;10,75;0,8484;9,75;13,0;33;1
267;Selic;2024-10-29;R1/2026;11,0152;10,75;0,9174;9,0;13,25;115;0
268;Selic;2024-10-29;R8/2025;11,3421;11,25;0,8687;10,0;13,0;38;1
269;Selic;2024-10-29;R8/2025;11,3454;11,25;0,8729;9,5;13,5;131;0
270;Selic;2024-10-29;R7/2025;11,5987;11,625;0,8223;10,0;13,5;38;1
271;Selic;2024-10-29;R7/2025;11,6102;11,75;0,7797;10,0;13,5;127;0
272;Selic;2024-10-29;R6/2025;11,8947;12,0;0,7751;10,0;13,5;38;1
273;Selic;2024-10-29;R6/2025;11,8701;12,0;0,7;10,0;13,5;127;0
274;Selic;2024-10-29;R5/2025;12,0921;12,0;0,6723;10,0;13,5;38;1
275;Selic;2024-10-29;R5/2025;12,065;12,0;0,5987;10,0;13,5;127;0
276;Selic;2024-10-29;R4/2025;12,2171;12,125;0,5797;10,5;13,5;38;1
277;Selic;2024-10-29;R4/2025;12,1732;12,0;0,5131;10,5;13,5;127;0
278;Selic;2024-10-29;R3/2025;12,2434;12,125;0,4781;11,0;13,25;38;1
279;Selic;2024-10-29;R3/2025;12,1988;12,0;0,4385;11,0;13,25;127;0
280;Selic;2024-10-29;R2/2025;12,2237;12,25;0,3431;11,25;12,75;38;1
281;Selic;2024-10-29;R2/2025;12,1713;12,0;0,3587;11,25;12,75;127;0
282;Selic;2024-10-29;R1/2025;12,0921;12,0;0,1938;11,25;12,25;38;1
283;Selic;2024-10-29;R1/2025;12,041;12,0;0,2436;11,25;12,25;128;0
284;Selic;2024-10-29;R8/2024;11,7115;11,75;0,1206;11,25;11,75;39;1
285;Selic;2024-10-29;R8/2024;11,694;11,75;0,1485;11,25;12,0;134;0
286;Selic;2024-10-29;R7/2024;11,2436;11,25;0,0395;11,0;11,25;39;1
287;Selic;2024-10-29;R7/2024;11,2269;11,25;0,0846;10,75;11,5;130;0
288;Selic;2024-10-28;R6/2026;9,8448;9,75;0,8621;8,5;13,0;29;1
289;Selic;2024-10-28;R6/2026;9,9543;9,75;0,9191;8,0;13,0;104;0
290;Selic;2024-10-28;R5/2026;9,9274;9,75;0,8284;8,5;13,0;31;1
291;Selic;2024-10-28;R5/2026;10,1094;10,0;0,9635;8,0;13,0;112;0
292;Selic;2024-10-28;R4/2026;10,0806;10,0;0,7966;9,0;13,0;31;1
293;Selic;2024-10-28;R4/2026;10,281;10,0;0,9461;8,5;13,0;113;0
294;Selic;2024-10-28;R3/2026;10,2578;10,125;0,8208;9,0;13,0;32;1
295;Selic;2024-10-28;R3/2026;10,4759;10,5;0,9586;8,5;13,0;114;0
296;Selic;2024-10-28;R2/2026;10,5391;10,375;0,8318;9,5;13,0;32;1
297;Selic;2024-10-28;R2/2026;10,7237;10,625;0,9432;9,0;13,0;114;0
298;Selic;2024-10-28;R1/2026;10,875;10,75;0,8362;9,75;13,0;32;1
299;Selic;2024-10-28;R1/2026;11,013;10,75;0,9165;9,0;13,25;115;0
300;Selic;2024-10-28;R8/2025;11,277;11,25;0,8597;10,0;13,0;37;1
301;Selic;2024-10-28;R8/2025;11,3423;11,25;0,8755;9,5;13,5;130;0
302;Selic;2024-10-28;R7/2025;11,5347;11,5;0,8295;10,0;13,5;36;1
303;Selic;2024-10-28;R7/2025;11,6052;11,625;0,7813;10,0;13,5;126;0
304;Selic;2024-10-28;R6/2025;11,8333;11,875;0,7862;10,0;13,5;36;1
305;Selic;2024-10-28;R6/2025;11,8631;12,0;0,6998;10,0;13,5;126;0
306;Selic;2024-10-28;R5/2025;12,0347;12,0;0,6926;10,0;13,5;36;1
307;Selic;2024-10-28;R5/2025;12,0595;12,0;0,5988;10,0;13,5;126;0
308;Selic;2024-10-28;R4/2025;12,1597;12,0;0,6042;10,5;13,5;36;1
309;Selic;2024-10-28;R4/2025;12,1687;12,0;0,5126;10,5;13,5;126;0
