;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;data
32;20211;MasterCard;Crédito;Platinum;10973927;9053834;289236263;35818913397,89;1736575;417692086,75;2021-01-01
33;20132;MasterCard;Débito;Premium;185099;90598;989807;91465183,4;12225;4299406,61;2013-04-01
34;20182;Elo;Crédito;Básico Internacional;1292390;503812;8362809;902664510,76;38851;15463712,78;2018-04-01
35;20164;VISA;Pré-Pago;Outros;84262;84262;22805;1606826,0;5154;15162,9;2016-10-01
36;20183;VISA;Débito;Básico Internacional;112491221;29984098;571613876;37191883186,49;115938;11592033,7;2018-07-01
37;20154;VISA;Débito;Premium;306890;172913;4293769;462183645,41;468;118853,55;2015-10-01
38;20134;VISA;Crédito;Básico Internacional;18649001;9387310;159228178;14947405873,13;4359396;412498802,21;2013-10-01
39;20203;Outras;Débito;Outros;3483227;1879278;37663683;3514335509,79;0;0,0;2020-07-01
40;20112;VISA;Débito;Platinum;1192263;717039;14354232;1168897035,94;11;480,51;2011-04-01
41;20192;VISA;Débito;Intermediário;1365888;844588;26055528;1870863762,38;408;59558,68;2019-04-01
42;20202;Elo;Débito;Corporativo;1889;1;1;170,5;0;0,0;2020-04-01
43;20161;VISA;Crédito;Básico Nacional;29002039;15105110;158829599;13664890774,69;264055;12668478,71;2016-01-01
44;20181;Elo;Pré-Pago;Outros;1337875;947924;7257605;331935381,64;0;0,0;2018-01-01
45;20162;Outras;Crédito;Outros;792712;214935;2776191;452822477,96;0;0,0;2016-04-01
46;20203;MasterCard;Crédito;Básico Internacional;20760226;9960896;136653105;13406797809,86;510394;99819832,99;2020-07-01
47;20224;MasterCard;Crédito;Empresarial;5278900;2576262;38238177;11525331705,83;540610;364269515,25;2022-10-01
48;20232;MasterCard;Débito;Básico Nacional;9474150;3352841;76682580;5459519111,92;44;13061,04;2023-04-01
49;20233;Elo;Pré-Pago;Básico Internacional;43568008;5724418;24653259;1336943463,28;3240;657549,79;2023-07-01
50;20144;MasterCard;Crédito;Premium;505405;352026;18725155;3652446305,09;1241811;560191975,5;2014-10-01
51;20183;Bandeira própria;Pré-Pago;Outros;222334;43415;55164;1658675,48;39613;1256954,03;2018-07-01
52;20213;MasterCard;Crédito;Intermediário;81083744;53017861;984423832;96736955755,98;3629464;478066054,7;2021-07-01
53;20134;American Express;Crédito;Intermediário;1857287;1102284;20618242;2001819722,8;844494;207305877,07;2013-10-01
54;20132;MasterCard;Crédito;Intermediário;8558139;5121329;92139727;11454963039,7;3078994;533954533,23;2013-04-01
55;20232;MasterCard;Débito;Empresarial;1734814;428364;14619835;974851189,78;37;28001,68;2023-04-01
56;20184;Bandeira própria;Crédito;Outros;4370634;2414199;5848505;688647217,3;5;380,64;2018-10-01
57;20111;Hipercard;Crédito;Básico Nacional;9311270;5234955;49117684;4968425481,61;0;0,0;2011-01-01
58;20144;VISA;Débito;Básico Nacional;8071498;3699012;67270450;4344401799,45;0;0,0;2014-10-01
59;20223;MasterCard;Crédito;Intermediário;104214886;66217870;1249278675;120347163284,55;5165492;737499221,32;2022-07-01
60;20143;Cheque Eletrônico;Débito;Outros;576993;422077;2348;1230492,44;0;0,0;2014-07-01
61;20232;VISA;Crédito;Platinum;9867175;7132484;305986202;45717181800,7;2521436;929165394,54;2023-04-01
62;20112;American Express;Crédito;Outros;15716;6166;144455;13189906,88;6155;1319431,53;2011-04-01
63;20124;VISA;Crédito;Platinum;4418743;2964156;106849930;13960570902,65;4048139;986245985,44;2012-10-01
64;20113;American Express;Crédito;Empresarial;92572;4431;52101;9098858,45;2382;1041040,25;2011-07-01
65;20193;Elo;Débito;Outros;63499660;28883411;417426430;23130709579,62;0;0,0;2019-07-01
66;20164;Elo;Débito;Outros;49267749;16533921;187513730;11232998174,82;0;0,0;2016-10-01
67;20221;VISA;Débito;Platinum;1811479;1070345;38507949;3587414332,41;528;110605,25;2022-01-01
68;20224;MasterCard;Crédito;Premium;4211446;3491300;239911239;49301853908,72;4858925;2703401003,77;2022-10-01
69;20222;VISA;Débito;Outros;937;132;10398;609159,38;0;0,0;2022-04-01
70;20183;Elo;Crédito;Corporativo;23629;14353;21198;123991479,49;186;96491,14;2018-07-01
71;20232;Bandeira própria;Crédito;Outros;13219439;3129080;9045979;1406358605,8;0;0,0;2023-04-01
72;20214;MasterCard;Débito;Corporativo;3449;2273;90696;8357473,59;2;18,1;2021-10-01
73;20214;MasterCard;Crédito;Empresarial;4395443;2400889;36611562;9321778754,22;420432;283326868,6;2021-10-01
74;20184;VISA;Crédito;Intermediário;6989009;5198613;167408848;20421902707,59;2139072;574363239,83;2018-10-01
75;20124;Hipercard;Crédito;Básico Nacional;7934944;4930552;52519930;6067276624,78;0;0,0;2012-10-01
76;20113;Hipercard;Crédito;Básico Nacional;8637264;5214912;51822202;5461543282,79;0;0,0;2011-07-01
77;20222;MasterCard;Crédito;Básico Internacional;69606309;23731876;265637394;25232099520,54;762415;164828553,47;2022-04-01
78;20154;Elo;Crédito;Corporativo;14845;8503;6344;112877244,32;0;0,0;2015-10-01
79;20151;VISA;Débito;Intermediário;1430668;816015;18591954;1414386591,96;4;1072,31;2015-01-01
80;20194;MasterCard;Débito;Platinum;773058;414752;10817455;890985189,96;3479;1172795,63;2019-10-01
81;20113;VISA;Débito;Básico Internacional;132862441;44673160;417822821;22453493304,84;210175;21746073,96;2011-07-01
82;20184;Elo;Pré-Pago;Outros;1845218;1406027;9870831;524253252,96;85;1242,07;2018-10-01
83;20193;VISA;Débito;Intermediário;1506131;883473;28879088;2089414396,42;488;65649,81;2019-07-01
84;20203;Elo;Crédito;Intermediário;2986762;1655127;26125677;2762616367,02;15949;1998199,18;2020-07-01
85;20172;MasterCard;Crédito;Básico Internacional;15514432;10367372;168935297;16002923888,77;2071643;211296646,78;2017-04-01
86;20132;VISA;Crédito;Intermediário;8006272;5244716;116849332;14425948113,73;4154991;819557485,0;2013-04-01
87;20192;VISA;Crédito;Intermediário;7135206;5194476;167612859;19379053809,34;2099537;560593693,93;2019-04-01
88;20213;Bandeira própria;Débito;Outros;1177660;504518;4951051;361757453,37;0;0,0;2021-07-01
89;20232;VISA;Débito;Básico Internacional;79081987;21886403;590318200;38906543177,25;23938;4956276,28;2023-04-01
90;20201;VISA;Débito;Básico Nacional;8995690;4317923;101426025;6416265835,13;1374;179708,52;2020-01-01
91;20164;MasterCard;Crédito;Intermediário;11121397;7478416;166732262;19639552533,03;2785001;491009671,3;2016-10-01
92;20171;VISA;Crédito;Básico Nacional;25663276;13338027;150079970;13020464056,96;343481;15018336,25;2017-01-01
93;20172;Diners Club;Crédito;Intermediário;197589;179847;3383983;543217943,55;46943;16093829,13;2017-04-01
94;20223;VISA;Crédito;Intermediário;31279964;21301976;432348150;50514296811,67;1351818;315422675,04;2022-07-01
95;20151;VISA;Crédito;Corporativo;547772;252662;3461026;1159032411,38;244349;134634810,26;2015-01-01
96;20182;MasterCard;Crédito;Básico Nacional;31387297;12365676;175964530;17655364949,63;24505;1647353,64;2018-04-01
97;20124;Elo;Débito;Básico Nacional;1847721;231772;1627092;85252338,34;0;0,0;2012-10-01
98;20122;MasterCard;Crédito;Empresarial;867163;335027;5105088;1273167143,29;190861;86468442,41;2012-04-01
99;20151;VISA;Crédito;Básico Nacional;26006370;13343578;161277296;13460079324,9;265001;12359625,06;2015-01-01
100;20142;MasterCard;Débito;Básico Nacional;2277841;760185;11777630;712123275,83;79;21057,86;2014-04-01
101;20212;Hipercard;Crédito;Intermediário;5872;2111;23978;2112291,57;1;0,01;2021-04-01
102;20213;Elo;Pré-Pago;Básico Internacional;5363945;3442802;25606086;1136461652,18;373;78017,62;2021-07-01
103;20153;MasterCard;Débito;Intermediário;738371;310528;6558197;479235474,33;2265;581300,19;2015-07-01
104;20212;Elo;Débito;Empresarial;903058;371062;7897364;1091779471,58;0;0,0;2021-04-01
105;20201;Hipercard;Crédito;Intermediário;3801973;3590838;52866044;7357021813,02;14;487,33;2020-01-01
106;20134;MasterCard;Crédito;Corporativo;59484;30186;1033877;414285308,83;60574;35943413,9;2013-10-01
107;20113;VISA;Crédito;Platinum;3580092;2246116;77953331;9767486503,73;3534358;728222543,25;2011-07-01
108;20131;MasterCard;Débito;Básico Nacional;2644140;741147;9888731;572513691,92;62;15291,1;2013-01-01
109;20151;Outras;Débito;Outros;3436013;1350517;29529821;2080448750,61;0;0,0;2015-01-01
110;20204;MasterCard;Débito;Básico Nacional;708846;419067;11533560;925802913,94;5;5855,61;2020-10-01
111;20173;MasterCard;Crédito;Corporativo;89672;53810;1805167;663351567,19;120050;59277299,93;2017-07-01
112;20223;MasterCard;Pré-Pago;Outros;19545879;2746560;33798298;1931888910,9;157943;34497864,03;2022-07-01
113;20143;MasterCard;Débito;Intermediário;781897;342312;6591501;472634626,0;3462;940375,16;2014-07-01
114;20133;VISA;Crédito;Corporativo;517313;243624;4095940;1494229450,05;227349;116754035,53;2013-07-01
115;20142;Hipercard;Crédito;Básico Nacional;7724238;4614490;53329059;6369494028,37;0;0,0;2014-04-01
116;20214;Elo;Crédito;Premium;55627;48417;1855029;380397598,82;3488;2165094,26;2021-10-01
117;20203;VISA;Pré-Pago;Corporativo;668034;130895;2205680;188057717,3;536527;100501072,23;2020-07-01
118;20221;VISA;Débito;Básico Nacional;12308499;6658638;171524153;11533429361,03;1272;175816,0;2022-01-01
119;20164;MasterCard;Crédito;Outros;8809395;3641636;46948297;4609905909,09;29261;3662142,93;2016-10-01
120;20241;VISA;Pré-Pago;Básico Internacional;38737541;14646677;170359011;7533159116,17;1492931;260100187,67;2024-01-01
121;20222;Elo;Crédito;Outros;4331414;2047821;41280337;5727056511,64;58237;32386751,14;2022-04-01
122;20124;MasterCard;Crédito;Empresarial;872988;394929;5583366;1491024900,96;213956;89331892,39;2012-10-01
123;20143;American Express;Crédito;Platinum;626116;375383;12782637;1977287008,34;1016634;454898189,51;2014-07-01
124;20181;VISA;Débito;Empresarial;972468;472389;10458649;1308959934,26;86;21479,46;2018-01-01
125;20233;MasterCard;Crédito;Básico Internacional;96321835;29883768;323688703;32109537878,42;712230;109379911,32;2023-07-01
126;20233;Elo;Crédito;Outros;320018;252300;13752387;3009042146,44;37596;21020737,73;2023-07-01
127;20171;VISA;Crédito;Corporativo;438091;247285;3744176;1044517291,25;221802;120205258,27;2017-01-01
128;20193;MasterCard;Pré-Pago;Platinum;396140;126531;1618904;86701091,95;169374;31349758,64;2019-07-01
129;20211;VISA;Pré-Pago;Corporativo;792538;114591;2696424;251703294,49;117899;28573484,48;2021-01-01
130;20222;MasterCard;Crédito;Básico Nacional;22619563;5141985;66117755;6502278082,28;12047;1293342,62;2022-04-01
131;20224;VISA;Pré-Pago;Outros;27502758;8186257;131600855;6237689825,17;122923;23863031,8;2022-10-01
132;20153;Elo;Crédito;Básico Nacional;5193037;1876078;14939721;899147900,83;5;5537,05;2015-07-01
133;20174;MasterCard;Crédito;Empresarial;1190993;831943;11202660;2464631821,04;331314;143344860,53;2017-10-01
134;20143;VISA;Débito;Básico Nacional;8488012;3846352;58033906;3559748761,89;0;0,0;2014-07-01
135;20153;MasterCard;Débito;Básico Nacional;1972697;721894;12074794;740938026,71;44;9195,17;2015-07-01
136;20133;VISA;Débito;Intermediário;1395395;809347;17388302;1234399492,83;0;0,0;2013-07-01
137;20182;VISA;Débito;Básico Internacional;114375455;30084932;555342124;35190660474,23;123377;11298305,77;2018-04-01
138;20174;Elo;Crédito;Empresarial;439567;168646;2777611;599267425,93;0;0,0;2017-10-01
139;20202;American Express;Crédito;Empresarial;22514;17118;354436;152942559,26;1429;1381116,84;2020-04-01
140;20153;MasterCard;Débito;Premium;223827;116420;1598236;156951620,98;9137;4223888,61;2015-07-01
141;20202;VISA;Pré-Pago;Platinum;17407;220;0;0,0;3203;1204275,01;2020-04-01
142;20163;American Express;Crédito;Outros;16;0;328;10245,35;0;0,0;2016-07-01
143;20194;VISA;Débito;Premium;498513;267186;7974180;797202241,32;442;110867,77;2019-10-01
144;20184;VISA;Débito;Platinum;1724154;1134094;43080218;3628520205,82;1518;268203,63;2018-10-01
145;20222;American Express;Crédito;Empresarial;22356;16630;541499;375699756,32;26112;36940853,85;2022-04-01
146;20211;MasterCard;Pré-Pago;Empresarial;207001;89690;2131752;139957666,27;0;0,0;2021-01-01
147;20171;MasterCard;Débito;Empresarial;284731;87061;1528116;196005036,72;329;219435,96;2017-01-01
148;20214;VISA;Débito;Empresarial;1498017;565451;22049316;2933822128,09;1841;550268,05;2021-10-01
149;20152;Outras;Débito;Outros;3397104;1358393;27099931;2726617023,58;0;0,0;2015-04-01
150;20152;VISA;Crédito;Platinum;5417648;3759459;134520687;17689453603,06;4235656;1027956305,48;2015-04-01
151;20184;MasterCard;Pré-Pago;Intermediário;1367;717;6103;275101,91;0;0,0;2018-10-01
152;20182;MasterCard;Crédito;Básico Internacional;17230931;11216105;205888912;19378591043,04;1578344;249917915,64;2018-04-01
153;20113;Diners Club;Crédito;Empresarial;1166;761;12494;3367547,42;577;291323,35;2011-07-01
154;20242;MasterCard;Crédito;Intermediário;136396502;71611177;1359884386;130114699989,98;6366050;837423221,98;2024-04-01
155;20241;VISA;Pré-Pago;Intermediário;4833;84;501;19699,31;0;0,0;2024-01-01
156;20233;VISA;Débito;Básico Internacional;149774209;39204787;966211748;62164619277,38;27422;5488295,19;2023-07-01
157;20113;MasterCard;Débito;Empresarial;483206;131067;1529569;172689459,26;891;334243,34;2011-07-01
158;20181;MasterCard;Crédito;Básico Internacional;16614675;10775152;191274816;18264958032,31;1695844;241623366,0;2018-01-01
159;20133;VISA;Débito;Premium;239074;133361;2662931;257277763,75;3;294,87;2013-07-01
160;20132;MasterCard;Débito;Intermediário;862092;373399;6563195;447935900,07;4278;1087290,63;2013-04-01
161;20134;Bandeira própria;Débito;Outros;1548973;352785;2159684;147338111,9;0;0,0;2013-10-01
162;20171;VISA;Pré-Pago;Básico Nacional;1218566;136098;199472;263006002,41;0;0,0;2017-01-01
163;20112;MasterCard;Crédito;Intermediário;5380852;3520001;59293565;7238967130,15;2157546;391242550,78;2011-04-01
164;20131;MasterCard;Crédito;Intermediário;8210866;4948958;83097696;10432838097,05;2736932;490009224,16;2013-01-01
165;20222;Hipercard;Crédito;Empresarial;1576;965;6457;2975184,62;1;0,01;2022-04-01
166;20234;MasterCard;Crédito;Premium;6316326;4656019;369271968;73488763442,06;7024773;3659413290,21;2023-10-01
167;20202;American Express;Crédito;Premium;418694;259285;7428240;1764406457,41;32278;27559695,49;2020-04-01
168;20162;VISA;Débito;Outros;87096;87096;99003;6985004,45;3;250,38;2016-04-01
169;20181;MasterCard;Pré-Pago;Corporativo;3543;1775;40936;3548366,32;10894;1752576,48;2018-01-01
170;20122;MasterCard;Crédito;Platinum;3398343;2028302;51477924;6996354684,1;2354621;570457051,74;2012-04-01
171;20214;MasterCard;Crédito;Premium;2845637;2332933;152873088;32736527026,97;2478042;1444520853,36;2021-10-01
172;20222;Bandeira própria;Débito;Básico Nacional;28189;1611;39617;5789783,22;0;0,0;2022-04-01
173;20111;VISA;Débito;Básico Nacional;10560174;3567630;40887172;2255105714,59;0;0,0;2011-01-01
174;20133;Bandeira própria;Débito;Outros;1524754;345261;1803273;111236205,3;0;0,0;2013-07-01
175;20153;Elo;Débito;Básico Nacional;5473224;1578729;14884118;822505041,01;0;0,0;2015-07-01
176;20162;MasterCard;Crédito;Premium;628484;472702;27217038;5277632395,35;1341869;582733077,9;2016-04-01
177;20183;Elo;Débito;Corporativo;1074;2;2;15,0;0;0,0;2018-07-01
178;20214;Hipercard;Crédito;Empresarial;1672;1037;8996;4142592,28;1;0,01;2021-10-01
179;20183;American Express;Crédito;Platinum;499776;405012;3819761;729947728,73;168902;99042805,36;2018-07-01
180;20163;VISA;Crédito;Intermediário;7770186;4816220;130206163;15659795174,44;2834164;548560203,54;2016-07-01
181;20241;Elo;Crédito;Premium;251548;181777;8472346;1722477227,12;26838;12507225,19;2024-01-01
182;20174;MasterCard;Crédito;Básico Internacional;16180917;10604613;191410011;18811489870,55;2428959;247630221,97;2017-10-01
183;20181;VISA;Crédito;Básico Nacional;22306347;10713804;142083386;11584977324,04;232826;14560801,6;2018-01-01
184;20214;MasterCard;Pré-Pago;Básico Nacional;306053;199118;1059240;138683534,16;6874;708635,99;2021-10-01
185;20161;MasterCard;Débito;Básico Internacional;111250572;36281091;646177707;38974131333,87;97621;24240787,51;2016-01-01
186;20121;MasterCard;Crédito;Empresarial;840447;325778;4684611;1130671687,65;167770;70651935,77;2012-01-01
187;20183;Elo;Crédito;Básico Internacional;1432198;599648;10197908;1123483845,04;48604;17249261,76;2018-07-01
188;20212;Hipercard;Crédito;Platinum;2613837;2452330;39150115;6181184729,1;1;0,01;2021-04-01
189;20201;VISA;Pré-Pago;Corporativo;564877;156470;1975306;150422308,76;1241992;201407360,63;2020-01-01
190;20141;MasterCard;Débito;Básico Internacional;117480733;35644597;534208324;31506610672,79;169422;41638805,95;2014-01-01
191;20192;VISA;Crédito;Platinum;5134612;3766765;189599589;23317204460,12;3326860;1013933532,49;2019-04-01
192;20183;Bandeira própria;Débito;Outros;1316719;384708;3963288;535713935,68;0;0,0;2018-07-01
193;20182;Elo;Crédito;Básico Nacional;4925746;2262128;40251412;3133370171,47;33761;9918786,5;2018-04-01
194;20231;Bandeira própria;Crédito;Intermediário;120007;34582;2515721;706837041,9;0;0,0;2023-01-01
195;20182;MasterCard;Débito;Básico Internacional;108277544;39148325;858274189;49909794805,22;130786;28340603,62;2018-04-01
196;20174;VISA;Crédito;Corporativo;512408;262246;4849601;1227969871,64;383157;195551777,09;2017-10-01
197;20173;Elo;Débito;Básico Internacional;22015354;5916707;130418844;6903165902,38;0;0,0;2017-07-01
198;20221;Elo;Crédito;Empresarial;498299;271923;5747007;1542230049,57;8005;5537453,72;2022-01-01
199;20163;VISA;Crédito;Corporativo;467394;254954;4239196;1243754164,53;253119;136654486,75;2016-07-01
200;20212;Outras;Crédito;Outros;187406;126360;85987;22968564,9;0;0,0;2021-04-01
201;20184;VISA;Débito;Básico Internacional;110678141;29854237;612026373;41642143938,19;102801;11360998,68;2018-10-01
202;20124;Bandeira própria;Crédito;Outros;619629;193900;1082019;97103678,95;0;0,0;2012-10-01
203;20201;VISA;Débito;Premium;524164;281010;7300175;719876458,38;366;72611,7;2020-01-01
204;20233;Elo;Crédito;Platinum;170595;116852;3318766;507000497,68;4784;1096979,06;2023-07-01
205;20234;VISA;Pré-Pago;Básico Internacional;37052681;13412291;173114901;7919930410,03;1431313;252153702,97;2023-10-01
206;20133;MasterCard;Débito;Empresarial;442882;119088;1677755;202648481,9;570;201614,12;2013-07-01
207;20133;American Express;Crédito;Corporativo;160344;86951;2248788;1382676179,91;216560;152025490,03;2013-07-01
208;20114;Outras;Crédito;Básico Nacional;424265;154827;33307;15392689,88;0;0,0;2011-10-01
209;20143;VISA;Crédito;Corporativo;499675;254714;3760419;1360750542,34;239412;111658115,79;2014-07-01
210;20214;American Express;Crédito;Básico Nacional;55548;41603;910289;127548634,54;3604;1159431,58;2021-10-01
211;20164;VISA;Crédito;Básico Internacional;15429034;10809926;182946506;17023534191,0;2273341;250332073,75;2016-10-01
212;20124;Elo;Crédito;Empresarial;2;1;2;3,5;0;0,0;2012-10-01
213;20211;MasterCard;Crédito;Básico Nacional;23859443;6342333;62067867;5751198772,06;33770;2576747,94;2021-01-01
214;20214;VISA;Débito;Básico Nacional;12108576;6065784;179932430;12475537831,91;1562;209981,07;2021-10-01
215;20201;Elo;Pré-Pago;Básico Nacional;929765;108222;219089;14473083,97;114;6650,04;2020-01-01
216;20201;VISA;Pré-Pago;Básico Internacional;9340161;3496091;3958521;335762983,21;2202751;273644610,37;2020-01-01
217;20233;American Express;Crédito;Intermediário;346312;263935;8129971;1403697265,67;70120;36829136,78;2023-07-01
218;20132;Elo;Débito;Outros;9621606;2888168;17396473;1006091417,95;0;0,0;2013-04-01
219;20212;MasterCard;Pré-Pago;Básico Internacional;952;693;52;12988,12;0;0,0;2021-04-01
220;20242;VISA;Débito;Outros;91891;91670;1000569;183667956,69;0;0,0;2024-04-01
221;20184;Outras;Débito;Básico Nacional;6;6;3880;225100,7;0;0,0;2018-10-01
222;20131;MasterCard;Crédito;Platinum;3775651;2229160;56935692;7881525521,9;2608566;607128274,39;2013-01-01
223;20231;Elo;Crédito;Empresarial;521515;312278;6710143;1932384873,04;8855;7721703,19;2023-01-01
224;20142;Diners Club;Crédito;Empresarial;785;429;4545;973173,56;232;129321,78;2014-04-01
225;20203;VISA;Débito;Intermediário;2976940;2081749;43653392;3753722572,02;258;60890,24;2020-07-01
226;20202;Bandeira própria;Débito;Outros;1037567;394237;3759586;280297980,54;0;0,0;2020-04-01
227;20203;VISA;Pré-Pago;Básico Internacional;13155807;3544187;5158430;421914765,6;914775;129055362,75;2020-07-01
228;20173;Diners Club;Crédito;Intermediário;190829;173957;3666781;589247135,94;48200;16561579,48;2017-07-01
229;20242;Bandeira própria;Pré-Pago;Outros;2979132;2956291;1141272574;2131642937,44;0;0,0;2024-04-01
230;20224;MasterCard;Crédito;Outros;21676336;6013148;89203209;10170582715,16;97485;16971159,33;2022-10-01
231;20223;MasterCard;Crédito;Básico Internacional;76968789;24718257;273612238;26221806357,16;794167;173372153,32;2022-07-01
232;20163;MasterCard;Crédito;Básico Nacional;32459630;14051716;164035890;15810824051,06;46520;1323183,45;2016-07-01
233;20141;MasterCard;Crédito;Platinum;3874250;2322883;75190530;9821421503,52;3080830;698121646,89;2014-01-01
234;20224;VISA;Pré-Pago;Básico Nacional;12101551;2927448;45843527;3306680156,24;1234;409942,47;2022-10-01
235;20122;MasterCard;Crédito;Básico Nacional;35670703;15609905;144201376;12777276471,23;34251;1482513,19;2012-04-01
236;20144;MasterCard;Crédito;Outros;8969488;3863808;41414510;4533410685,7;25286;2334505,51;2014-10-01
237;20112;Elo;Crédito;Básico Nacional;73534;26289;39492;2494647,05;0;0,0;2011-04-01
238;20242;VISA;Pré-Pago;Corporativo;1806222;172732;4719529;673402600,93;456644;118513904,88;2024-04-01
239;20164;MasterCard;Débito;Premium;207121;111251;1862531;194186359,5;4369;2663760,81;2016-10-01
240;20192;MasterCard;Pré-Pago;Outros;13436616;3163553;32415058;2360704744,91;323513;48016917,94;2019-04-01
241;20133;VISA;Crédito;Premium;520599;366217;23599027;3861798874,17;1225046;449805920,18;2013-07-01
242;20241;Bandeira própria;Crédito;Intermediário;141059;31522;2247112;592953727,11;0;0,0;2024-01-01
243;20223;Elo;Pré-Pago;Básico Nacional;4400044;14265;74856;2795278,11;0;0,0;2022-07-01
244;20242;Bandeira própria;Crédito;Básico Nacional;7417152;1606660;7351407;1127589664,6;0;0,0;2024-04-01
245;20142;Outras;Crédito;Outros;1080453;324842;2938147;375169463,84;4;222,0;2014-04-01
246;20231;Outras;Débito;Outros;3406135;1743385;41928992;3925126074,23;0;0,0;2023-01-01
247;20154;American Express;Crédito;Platinum;577320;357389;13557742;2172582874,45;827472;385303320,82;2015-10-01
248;20193;VISA;Pré-Pago;Básico Nacional;1799739;239132;1391552;871599785,72;81;21859,33;2019-07-01
249;20114;VISA;Débito;Básico Nacional;8843018;3672252;48279946;2795329607,32;0;0,0;2011-10-01
250;20182;VISA;Pré-Pago;Corporativo;158302;149917;468412;108261368,68;318178;155462886,61;2018-04-01
251;20132;VISA;Débito;Intermediário;1432766;810656;16447754;1151863840,31;0;0,0;2013-04-01
252;20174;VISA;Débito;Básico Nacional;5242699;2885436;65361203;4369715421,22;150;18670,9;2017-10-01
253;20134;Cheque Eletrônico;Débito;Básico Nacional;78061;78061;12586;1141105,12;0;0,0;2013-10-01
254;20234;Elo;Pré-Pago;Básico Nacional;4428826;3752;24277;1263795,77;12;1006,62;2023-10-01
255;20241;Outras;Débito;Empresarial;707;14;1359;244606,43;0;0,0;2024-01-01
256;20222;VISA;Crédito;Corporativo;539525;313696;5263018;2293266998,97;255585;254486966,35;2022-04-01
257;20183;Outras;Crédito;Outros;517281;246163;749355;101626773,94;49;5766,78;2018-07-01
